Algoritmo,Base,Repeticao,|D|,|D+|,|D-|,Atributos,|I|,Tempo,Testes,Seed,WRAcc,WRAccN,size,TP,FP,overollSuppP,CoverRedundancyP,DescripRDensity,DescripRDominator,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,8,127,59,68,11142,33426,0.012,3144,112131119,0.113875628,0.455502511,1.1,29.7,3.1,1,0.377675056,1,0.1,8.155,34.78233537,1.51E-08,1.953281676,0.457801595,10,13.96359968,27.29713647,0.258267717,0.90743007,0.233858268,0.503389831,0.045588235
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,9,127,59,68,11142,33426,0.013,3149,108626351,0.113875628,0.455502511,1.1,29.7,3.1,1,0.377675056,1,0.1,8.155,34.78233537,1.51E-08,1.953281676,0.457801595,10,13.96359968,27.29713647,0.258267717,0.90743007,0.233858268,0.503389831,0.045588235
SSDPHD1-k10-foWRAccN,burczynski-clean50-pn-quartil50,10,127,59,68,11142,33426,0.014,3061,107980007,0.113875628,0.455502511,1.1,29.7,3.1,1,0.377675056,1,0.1,8.155,34.78233537,1.51E-08,1.953281676,0.457801595,10,13.96359968,27.29713647,0.258267717,0.90743007,0.233858268,0.503389831,0.045588235
,,,,,,,,,,,,4.556364313,,,,,,,,,,,,,,,,,,,,
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,1,118,75,43,11108,33324,7.837,1434459,179424673,0.102707555,0.410830221,1.9,35.7,1.4,0.986666667,0.360560224,0.842105263,0.3,21.82666667,25.57009251,1.38E-06,1.523406609,0.44344186,10,Infinity,Infinity,0.31440678,0.968266912,0.302542373,0.476,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,2,118,75,43,11108,33324,0.028,7457,125164703,0.102707555,0.410830221,1.9,35.7,1.4,0.986666667,0.360560224,0.842105263,0.3,21.82666667,25.57009251,1.38E-06,1.523406609,0.44344186,10,Infinity,Infinity,0.31440678,0.968266912,0.302542373,0.476,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,3,118,75,43,11108,33324,0.008,2070,132011827,0.102398736,0.409594944,1.9,35.6,1.4,0.986666667,0.351835206,0.842105263,0.3,21.72666667,25.4633952,1.42E-06,1.523406609,0.442108527,10,Infinity,Infinity,0.313559322,0.968266912,0.301694915,0.474666667,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,4,118,75,43,11108,33324,0.02,5159,124987441,0.102398736,0.409594944,1.9,35.6,1.4,0.986666667,0.344794007,0.894736842,0.2,21.72666667,25.4633952,1.42E-06,1.523406609,0.442108527,10,Infinity,Infinity,0.313559322,0.968266912,0.301694915,0.474666667,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,5,118,75,43,11108,33324,0.019,4858,123979721,0.102398736,0.409594944,1.9,35.6,1.4,0.986666667,0.344794007,0.894736842,0.2,21.72666667,25.4633952,1.42E-06,1.523406609,0.442108527,10,Infinity,Infinity,0.313559322,0.968266912,0.301694915,0.474666667,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,6,118,75,43,11108,33324,0.007,1747,119777719,0.102089917,0.408359667,1.9,35.5,1.4,0.986666667,0.358685446,0.842105263,0.3,21.69333333,25.3554212,1.59E-06,1.523170372,0.440775194,10,Infinity,Infinity,0.312711864,0.968116762,0.300847458,0.473333333,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,7,118,75,43,11108,33324,0.007,1706,117705823,0.102089917,0.408359667,1.9,35.5,1.4,0.986666667,0.358685446,0.842105263,0.3,21.69333333,25.3554212,1.59E-06,1.523170372,0.440775194,10,Infinity,Infinity,0.312711864,0.968116762,0.300847458,0.473333333,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,8,118,75,43,11108,33324,0.006,1680,112131119,0.102089917,0.408359667,1.9,35.5,1.4,0.986666667,0.358685446,0.842105263,0.3,21.69333333,25.3554212,1.59E-06,1.523170372,0.440775194,10,Infinity,Infinity,0.312711864,0.968116762,0.300847458,0.473333333,0.03255814
SSDPHD1-k10-foWRAccN,chin-clean50-pn-quartil50,9,118,75,43,11108,33324,0.006,1542,108626351,0.101551278,0.406205113,1.9,35.5,1.5,0.986666667,0.34741784,0.736842105,0.3,20.14333333,25.04887919,1.94E-06,1.518253706,0.438449612,10,Infinity,Infinity,0.313559322,0.964991762,0.300847458,0.473333333,0.034883721
